id,category,level,action,note,question,answer
"S050","رياضة عامة","صعب","تغيير مستوى","متوسط","من السبّاح الأمريكي الأكثر تتويجًا بالميداليات الأولمبية في التاريخ؟","مايكل فيلبس"
"S051","رياضة عامة","صعب","تغيير مستوى","متوسط","ما اسم أشهر سباق دراجات في العالم ويقام سنويًا في فرنسا؟","طواف فرنسا"
"H018","طب وصحة","صعب","تغيير مستوى","متوسط","ما الجزء من الدماغ المسؤول عن التوازن؟","المخيخ"
"H102","طب وصحة","صعب","تغيير مستوى","متوسط","ما الهرمون الذي تفرزه الغدة الكظرية عند الخوف والتوتر؟","الأدرينالين"
"H103","طب وصحة","صعب","تغيير مستوى","متوسط","ما الجزء من العين الذي يحتوي على مستقبلات الضوء؟","الشبكية"
"H224","طب وصحة","صعب","تغيير مستوى","متوسط","ما اسم القناة التي تنقل البول من الكلية إلى المثانة؟","الحالب"
"H418","طب وصحة","صعب","تغيير مستوى","متوسط","ما اسم النسيج الذي يربط العضلة بالعظم؟","الوتر"
"H074","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما الوحدة التي تُقاس بها شدة الصوت؟","الديسيبل"
"H076","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما الوحدة التي تُقاس بها القدرة الكهربائية؟","الواط"
"H077","علوم واختراعات","صعب","تغيير مستوى","متوسط","أي قوانين نيوتن ينص على أن لكل فعل رد فعل مساويًا له في المقدار؟","القانون الثالث"
"H078","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما القوة التي تعيق حركة الأجسام على الأسطح؟","الاحتكاك"
"H079","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما الجهاز الذي يحول الطاقة الحركية إلى كهربائية؟","المولد"
"H238","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما معادلة أينشتاين التي تربط الكتلة بالطاقة؟","E=mc²"
"H242","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما العملية التي تنتج الطاقة في باطن الشمس؟","الاندماج النووي"
"H334","علوم واختراعات","صعب","تغيير مستوى","متوسط","ما الجسيم دون الذرّي الذي يحمل شحنة سالبة؟","الإلكترون"
"ADM2077","قصص الأنبياء","صعب","تغيير مستوى","متوسط","من النبيّ الذي أحيا الله الموتى على يديه بإذنه؟","عيسى عليه السلام"
"ADM2078","قصص الأنبياء","صعب","تغيير مستوى","متوسط","ما المرأة الوحيدة التي ذُكر اسمُها صريحاً في القرآن الكريم؟","مريم عليها السلام"
"ADM2087","قصص الأنبياء","صعب","تغيير مستوى","متوسط","من التقط موسى عليه السلام من الماء وربّاه في قصره؟","آل فرعون"
"ADM3300","قصص الأنبياء","صعب","تغيير مستوى","متوسط","في أيّ مدينةٍ وُلد عيسى عليه السلام؟","بيت لحم"
"ADM2267","لغة عربية","تعجيزي","تغيير مستوى","متوسط","ما اسم الحروف التي تنصب الاسم وترفع الخبر؟","إنّ وأخواتها"
"ADM2268","لغة عربية","تعجيزي","تغيير مستوى","متوسط","ما اسم الأفعال التي ترفع الاسم وتنصب الخبر؟","كان وأخواتها"
"H142","تقنية ومنوعات","صعب","تغيير مستوى","سهل","ما الوحدة التي تساوي 1024 غيغابايت؟","التيرابايت"
"ADM1527","أحياء وفلك","تعجيزي","تغيير مستوى","صعب","أيّ نبتةٍ تنمو أسرع من غيرها في العالم؟","الخيزران"
"ADM1550","أدب وفنون","تعجيزي","تغيير مستوى","صعب","من نحت تمثال «المفكّر»؟","رودان"
"ADM2833","أدب وفنون","تعجيزي","تغيير مستوى","صعب","من الفيلسوف الأندلسيّ صاحب قصّة «حيّ بن يقظان»؟","ابن طفيل"
"ADM2835","أدب وفنون","تعجيزي","تغيير مستوى","صعب","من الكاتب الفرنسيّ الجزائريّ المولد صاحب رواية «الغريب»؟","ألبير كامو"
"ADM2841","أدب وفنون","تعجيزي","تغيير مستوى","صعب","من الموسيقار الإيطاليّ مؤلّف «الفصول الأربعة»؟","فيفالدي"
"ADM2832","أدب وفنون","تعجيزي","تغيير مستوى","صعب","من أوّل من ابتكر فنّ المقامات في الأدب العربيّ؟","بديع الزمان الهمذاني"
"ADM2891","أغاني وطرب","تعجيزي","تغيير مستوى","صعب","من الشاعر الفلسطينيّ الذي كتب نشيد «موطني»؟","إبراهيم طوقان"
"ADM1639","أكلات","تعجيزي","تغيير مستوى","صعب","أيّ قارّةٍ هي الموطن الأصليّ للبنّ؟","أفريقيا"
"ADM1643","أكلات","تعجيزي","تغيير مستوى","صعب","من أيّ حيوانٍ يُستخرج أغلى أنواع القهوة في العالم؟","الزباد"
"ADM2783","أكلات","تعجيزي","تغيير مستوى","صعب","أيّ فاكهةٍ تُلقّب بـ«ملك الفواكه» وتُمنع في فنادق آسيا لرائحتها النفّاذة؟","الدوريان"
"ADM3085","أنمي","تعجيزي","تغيير مستوى","صعب","ما المصطلح لفنّ تقليد شخصيّات الأنمي بالملابس؟","كوسبلاي"
"ADM3098","أنمي","تعجيزي","تغيير مستوى","صعب","ما اسم التنّين الذي يحقّق الأمنيات في «دراغون بول»؟","شينرون"
"ADM2912","إسلامي","تعجيزي","تغيير مستوى","صعب","من الشاعر الذي أنشد قصيدة «بانت سعاد» بين يدي النبيّ صلى الله عليه وسلم فكساه بردته؟","كعب بن زهير"
"ADM2907","إسلامي","تعجيزي","تغيير مستوى","صعب","ما اسم المدينة التي أسّسها عمرو بن العاص لتكون أوّل عاصمةٍ إسلاميّة لمصر؟","الفسطاط"
"ADM2915","إسلامي","تعجيزي","تغيير مستوى","صعب","من الفرقة التي اقتلعت الحجر الأسود من الكعبة سنة 317هـ وأبقته عندها اثنين وعشرين عاماً؟","القرامطة"
"ADM1799","الدوري الإنجليزي","تعجيزي","تغيير مستوى","صعب","ما الرقم الذي اشتهر به إريك كانتونا على قميص مانشستر يونايتد؟","سبعة"
"ADM2020","السيرة النبوية","تعجيزي","تغيير مستوى","صعب","من الصحابيّ الذي اهتزّ عرشُ الرحمن لموته؟","سعد بن معاذ رضي الله عنه"
"ADM2027","السيرة النبوية","تعجيزي","تغيير مستوى","صعب","من ابن عمّ خديجة رضي الله عنها الذي بشّرها بنبوّة النبيّ صلى الله عليه وسلم؟","ورقة بن نوفل"
"ADM2028","السيرة النبوية","تعجيزي","تغيير مستوى","صعب","بأيّ اسمٍ عُرف فقراء المهاجرين الذين كانوا يأوون إلى مؤخّرة المسجد النبويّ؟","أهل الصُّفّة"
"ADM2031","السيرة النبوية","تعجيزي","تغيير مستوى","صعب","ما اسم الشِّعب الذي حُوصر فيه بنو هاشم ثلاث سنين؟","شِعب أبي طالب"
"ADM2033","السيرة النبوية","تعجيزي","تغيير مستوى","صعب","ما اسم الملك الذي أرسل إليه النبيّ صلى الله عليه وسلم كتاباً فمزّقه؟","كسرى"
"ADM3496","القرآن الكريم","تعجيزي","تغيير مستوى","صعب","ما اسم السيل الذي أرسله الله على سبأ فخرّب جنّتيهم؟","سيل العَرِم"
"ADM1428","تاريخ وحضارات","تعجيزي","تغيير مستوى","صعب","ماذا كان اسم إسطنبول قبل أن تُسمّى القسطنطينية؟","بيزنطة"
"ADM2816","جغرافيا ومعالم","تعجيزي","تغيير مستوى","صعب","ما اسم أكبر واحة نخيلٍ في العالم وتقع في شرق السعوديّة؟","الأحساء"
"ADM2819","جغرافيا ومعالم","تعجيزي","تغيير مستوى","صعب","ما أعلى بركانٍ نشطٍ في أوروبا؟","جبل إتنا"
"ADM4306","حروف","تعجيزي","تغيير مستوى","صعب","ما اسم السجن الفرنسي الذي أشعل اقتحامه الثورة الفرنسية؟","الباستيل"
"ADM3885","حروف","تعجيزي","تغيير مستوى","صعب","ما اسم القصر الذي يسكنه رئيس فرنسا؟","الإليزيه"
"ADM2183","حضارات قديمة","تعجيزي","تغيير مستوى","صعب","ما اسم المعركة التي رَكض بعدها جنديٌّ ليبشّر أثينا فمات؟","ماراثون"
"ADM2185","حضارات قديمة","تعجيزي","تغيير مستوى","صعب","من العبد الذي قاد أشهر ثورةٍ على روما؟","سبارتاكوس"
"ADM2748","ديزني وبيكسار","تعجيزي","تغيير مستوى","صعب","في «الأسد الملك»، ما اسم القرد الحكيم الذي يرفع سيمبا على صخرة الملوك؟","رفيقي"
"ADM2751","ديزني وبيكسار","تعجيزي","تغيير مستوى","صعب","في «وول-إي»، ما اسم الروبوت الأبيض الذي أُرسل للبحث عن النبات؟","إيف"
"ADM2754","ديزني وبيكسار","تعجيزي","تغيير مستوى","صعب","في «إنكانتو»، ما اسم الخال الذي «لا نتحدّث عنه» في الأغنية الشهيرة؟","برونو"
"ADM1468","طب وصحة","تعجيزي","تغيير مستوى","صعب","من أيّ نبتةٍ استُخرج الأسبرين أصلاً؟","الصفصاف"
"ADM2094","قصص الأنبياء","تعجيزي","تغيير مستوى","صعب","بأيّ اسمٍ آخر ذُكر يونس عليه السلام في القرآن؟","ذو النون"
"ADM2096","قصص الأنبياء","تعجيزي","تغيير مستوى","صعب","ما لقب إبراهيم عليه السلام الذي وصفه الله به في القرآن؟","خليل الله"
"ADM2108","قصص الأنبياء","تعجيزي","تغيير مستوى","صعب","ما الجبل الذي استوت عليه سفينة نوحٍ عليه السلام؟","الجوديّ"
"ADM2271","لغة عربية","تعجيزي","تغيير مستوى","صعب","ما اسم تكرار الحرف الأخير في أواخر الفقرات نثراً؟","السجع"
"ADM2278","لغة عربية","تعجيزي","تغيير مستوى","صعب","ما اسم صوت الجمل؟","الرغاء"
"ADM3651","لغة عربية","تعجيزي","تغيير مستوى","صعب","ما علامة جرّ الممنوع من الصرف؟","الفتحة"
"ADM0837","أغاني وطرب","صعب","تغيير مستوى","تعجيزي","كم أغنية كتبها أحمد رامي لأم كلثوم؟","137"
"ADM0838","أغاني وطرب","صعب","تغيير مستوى","تعجيزي","كم سنة استمرّ التعاون الفنّي بين أم كلثوم والشاعر أحمد رامي؟","48"
"ADM0840","أغاني وطرب","صعب","تغيير مستوى","تعجيزي","كم فيلماً مثّل فيه الموسيقار فريد الأطرش؟","31"
"ADM0863","أغاني وطرب","صعب","تغيير مستوى","تعجيزي","كم أغنية كتبها بدر بن عبد المحسن للفنان طلال مداح؟","64"
"ADM3022","أنمي","سهل","إعادة صياغة","ما اسم الكنز الأسطوريّ الذي تركه ملك القراصنة ويسعى إليه لوفي؟","ما اسم الكنز الأسطوريّ الذي خلّفه ملك القراصنة غول دي روجر ويسعى إليه لوفي؟","ون بيس"
"ADM3175","ألعاب فيديو","تعجيزي","إعادة صياغة","ما اسم جهاز الألعاب الذي أُطلق سنة 2006 بسعر 599 دولاراً وكان الأغلى في جيله؟","ما اسم هذا الجهاز الذي أُطلق سنة 2006 بسعر 599 دولاراً وكان الأغلى في جيله؟","بلايستيشن 3"
"ADM3174","ألعاب فيديو","تعجيزي","إعادة صياغة","من المصمّم الياباني مبتكر «كيربي» و«سوبر سماش بروس»؟","من هذا المصمّم الياباني مبتكر «كيربي» و«سوبر سماش بروس»؟","ماساهيرو ساكوراي"
"ADM1776","الدوري الإنجليزي","صعب","إعادة صياغة","كم هدفاً سجّل هالاند في موسم 2022-2023 القياسيّ؟","كم هدفاً سجّل هالاند في ذلك الموسم؟","ستّة وثلاثون هدفاً"
"ADM1791","الدوري الإنجليزي","تعجيزي","إعادة صياغة","كم نقطةً جمع ديربي كاونتي في موسم 2007-2008 الكارثيّ؟","كم نقطةً جمع ذلك الفريق في موسمه الكارثيّ؟","إحدى عشرة نقطة"
"ADM1771","الدوري الإنجليزي","صعب","إعادة صياغة","من المدرّب الذي قاد ليفربول إلى لقب الدوري سنة 2020؟","من المدرّب الذي قاد ليفربول إلى لقب 2020 بعد ثلاثين عاماً من الانتظار؟","يورغن كلوب"
"ADM3047","أنمي","متوسط","إعادة صياغة","ما اسم النادي الإسباني الذي انتقل إليه الكابتن ماجد في المانغا؟","ما اسم النادي الإسباني الذي انتقل إليه الكابتن ماجد (تسوباسا) في المانغا؟","برشلونة"
"ADM1664","معالم","تعجيزي","إعادة صياغة","ما اسم الوادي الذي تقع فيه مدينة البتراء ويحمل اسم نبيّ؟","في أيّ بلدٍ تقع مدينة البتراء الأثريّة؟","الأردن"
"ADM1668","معالم","تعجيزي","إعادة صياغة","كم متفرّجاً كان يتّسع له الكولوسيوم في روما تقريباً؟","أيّ مبنىً في روما كان أكبر مدرّجٍ في العالم القديم؟","الكولوسيوم"
"ADM1567","سينما ودراما","تعجيزي","إعادة صياغة","من الممثّلة التونسيّة التي بدأت مسيرتها بفيلم «صمت القصور» ثمّ صارت من نجمات السينما المصريّة؟","بأيّ اسمٍ عُرفت أوّل ممثّلةٍ عربيّة تُرشَّح لجائزة عالميّة كبرى؟","هند صبري""H426","أحياء وفلك","صعب","تغيير مستوى","تعجيزي","ما اسم السحابة الكروية التي يُعتقد أنها مصدر المذنّبات بعيدة المدى؟","سحابة أورط"
"H428","أحياء وفلك","صعب","تغيير مستوى","تعجيزي","ما اسم الحزام الجليدي الواقع خلف مدار نبتون؟","حزام كايبر"
