التصنيف,المستوى,السؤال,الإجابة,الموضوع
الفقه والعبادات,صعب,ما كفّارة من ظاهر من زوجته إن عجز عن العتق؟,صيام شهرين متتابعين,الموسوعة ص317
الفقه والعبادات,صعب,ما عدّة المطلّقة التي بلغت سنّ اليأس؟,ثلاثة أشهر,الموسوعة ص319
الفقه والعبادات,صعب,كم جلدة في حدّ القذف؟,ثمانون,الموسوعة ص319
الفقه والعبادات,صعب,بعد أيّ عمل من أعمال الحج يقع التحلّل الأصغر؟,رمي جمرة العقبة,الموسوعة ص329
الفقه والعبادات,متوسط,بكم درجة تفضل صلاة الجماعة صلاة المنفرد في الحديث؟,سبع وعشرين درجة,الموسوعة ص334
الفقه والعبادات,متوسط,ما الصلوات الثلاث التي تُقصر في السفر؟,الظهر والعصر والعشاء,الموسوعة ص334
الفقه والعبادات,صعب,ما أكثر عدد ركعات صلاة الوتر؟,إحدى عشرة ركعة,الموسوعة ص335
الفقه والعبادات,صعب,ما أقلّ مقدار من المال تُقطع فيه يد السارق؟,ربع دينار,الموسوعة ص341
الفقه والعبادات,تعجيزي,كم من الإبل تجب دية الإصبع الواحدة؟,عشر,الموسوعة ص342
دين وسيرة,صعب,أيّ دولة أوّل من ابتدع الاحتفال بالمولد النبوي؟,الفاطميون,الموسوعة ص833
الصحابة والتابعون,تعجيزي,من قائد سرية نخلة التي غنم فيها المسلمون أوّل غنيمة في الإسلام؟,عبد الله بن جحش,الموسوعة ص834
الصحابة والتابعون,صعب,من أوّل من أسلم من الأنصار وكان من نقباء العقبة؟,أسعد بن زرارة,الموسوعة ص836
الصحابة والتابعون,تعجيزي,من أوّل مولود وُلد للأنصار بعد الهجرة؟,النعمان بن بشير,الموسوعة ص837
تاريخ وحضارات,متوسط,ما أوّل جامع أسّسه الفاطميون في القاهرة؟,الجامع الأزهر,الموسوعة ص837
السيرة النبوية,صعب,من زعيم اليهود الذي هجا النبي ﷺ وحرّض عليه فقتله محمد بن مسلمة؟,كعب بن الأشرف,الموسوعة ص838
الصحابة والتابعون,تعجيزي,من أوّل امرأة أسلمت بعد خديجة على قول المؤرّخين وهي زوجة العباس؟,أمّ الفضل لبابة,الموسوعة ص842
الصحابة والتابعون,تعجيزي,من الصحابي الذي أوّل من أسرج القناديل في المسجد النبوي؟,تميم الداري,الموسوعة ص845
الصحابة والتابعون,صعب,من الصحابية التي كانت أوّل امرأة تغزو في البحر واستُشهدت في قبرص؟,أمّ حرام بنت ملحان,الموسوعة ص846
الصحابة والتابعون,صعب,من الصحابية التي تزوّجها جعفر بن أبي طالب ثم أبو بكر ثم علي؟,أسماء بنت عميس,الموسوعة ص846
تاريخ وحضارات,تعجيزي,من أوّل من لُقّب بالوزير في الإسلام في بداية الدولة العباسية؟,أبو سلمة الخلّال,الموسوعة ص846
الصحابة والتابعون,صعب,ما الديانة الأولى لسلمان الفارسي قبل النصرانية والإسلام؟,المجوسية,الموسوعة ص847
السيرة النبوية,صعب,من الذي أدخل عبادة الأصنام إلى مكة وغيّر دين إبراهيم؟,عمرو بن لُحَيّ,الموسوعة ص847
السيرة النبوية,صعب,ما أوّل غزوة خرج فيها النبي ﷺ بنفسه؟,غزوة الأبواء (ودّان),الموسوعة ص848
الصحابة والتابعون,تعجيزي,من الصحابي الشابّ الذي ولّاه النبي ﷺ على مكة بعد فتحها؟,عتّاب بن أسيد,الموسوعة ص848
الصحابة والتابعون,تعجيزي,من الزوج الأوّل لحفصة بنت عمر قبل النبي ﷺ؟,خنيس بن حذافة,الموسوعة ص850
الصحابة والتابعون,تعجيزي,من أوّل مولود للمسلمين في أرض الحبشة؟,عبد الله بن جعفر,الموسوعة ص850
الصحابة والتابعون,صعب,أيّ سورة قرأها عمر بن الخطاب في بيت أخته فكانت سبب إسلامه؟,طه,الموسوعة ص850
الفقه والعبادات,صعب,ما أوّل كتاب أُلّف في أصول الفقه؟,الرسالة للشافعي,الموسوعة ص851
تاريخ وحضارات,تعجيزي,من أوّل أمراء المغول الذين أسلموا وحاكم القبيلة الذهبية؟,بركة خان,الموسوعة ص851
السيرة النبوية,صعب,من أوّل بنات النبي ﷺ زواجاً وتزوّجها أبو العاص بن الربيع؟,زينب,الموسوعة ص854
تاريخ وحضارات,صعب,ما أوّل صحيفة عربية صدرت سنة 1828 في عهد محمد علي؟,الوقائع المصرية,الموسوعة ص864
تاريخ وحضارات,صعب,من أوّل امرأة مسلمة تفوز بجائزة نوبل للسلام سنة 2003؟,شيرين عبادي,الموسوعة ص865
تاريخ وحضارات,صعب,من المستكشف النرويجي الذي كان أوّل من بلغ القطب الجنوبي سنة 1911؟,روالد أموندسن,الموسوعة ص869
الكويت,صعب,ما اسم الجريدة الرسمية لدولة الكويت؟,الكويت اليوم,الموسوعة ص871
تاريخ وحضارات,تعجيزي,ما اسم السفينة الوحيدة من أسطول ماجلان التي أتمّت الدوران حول الأرض؟,فيكتوريا,الموسوعة ص872
أدب وفنون,صعب,من مؤسّس مجلة «الهلال» ومؤلّف روايات تاريخ الإسلام؟,جرجي زيدان,الموسوعة ص873
أدب وفنون,تعجيزي,من أوّل من فاز بجائزة نوبل للآداب سنة 1901؟,سولي برودوم,الموسوعة ص875
تاريخ وحضارات,صعب,ما أوّل صحيفة سعودية صدرت سنة 1924 ولا تزال الجريدة الرسمية؟,أمّ القرى,الموسوعة ص877
الكويت,صعب,في أيّ عام صدر العدد الأوّل من مجلة «العربي» الكويتية؟,1958,الموسوعة ص864
حضارات قديمة,صعب,أيّ شعب قديم يُنسب إليه تقسيم الأسبوع إلى سبعة أيام؟,البابليون,الموسوعة ص882
علوم واختراعات,صعب,من العالم الإنجليزي الذي يُنسب إليه اكتشاف غاز الأكسجين سنة 1774؟,جوزيف بريستلي,الموسوعة ص884
تاريخ وحضارات,متوسط,في أيّ عام مُنحت جوائز نوبل لأوّل مرّة؟,1901,الموسوعة ص883
تاريخ وحضارات,صعب,من تولّى رئاسة وزراء لبنان أوّل مرّة بعد الاستقلال؟,رياض الصلح,الموسوعة ص889
تاريخ وحضارات,صعب,ما أوّل دولة أفريقية مستقلة أسّسها عبيد أمريكيون محرَّرون سنة 1847؟,ليبيريا,الموسوعة ص889
تاريخ وحضارات,متوسط,من أوّل رئيس للبوسنة والهرسك بعد استقلالها؟,علي عزت بيغوفيتش,الموسوعة ص889
تاريخ وحضارات,متوسط,من أوّل رئيس لإندونيسيا بعد الاستقلال؟,أحمد سوكارنو,الموسوعة ص890
تاريخ وحضارات,صعب,أيّ دولة تملك أقدم علم وطني لا يزال مستخدماً؟,الدنمارك,الموسوعة ص890
تاريخ وحضارات,متوسط,من أوّل رئيس وزراء للهند بعد الاستقلال؟,جواهر لال نهرو,الموسوعة ص890
تاريخ وحضارات,متوسط,من أوّل ملك سعودي اتخذ لقب «خادم الحرمين الشريفين»؟,الملك فهد,الموسوعة ص890
تاريخ وحضارات,صعب,من أوّل رئيس لجمهورية قبرص وكان رجل دين؟,مكاريوس,الموسوعة ص890
تاريخ وحضارات,متوسط,من مؤسّس الدولة العثمانية وأوّل سلاطينها؟,عثمان بن أرطغرل,الموسوعة ص891
تاريخ وحضارات,صعب,من قائد الحملة الفرنسية على مصر الذي اغتاله سليمان الحلبي؟,كليبر,الموسوعة ص891
تاريخ وحضارات,صعب,من القائد المسلم الذي استُشهد في معركة بلاط الشهداء بفرنسا سنة 114هـ؟,عبد الرحمن الغافقي,الموسوعة ص891
حضارات قديمة,صعب,بأيّ اسم عرف الإغريق جزيرة البحرين؟,تايلوس,الموسوعة ص892
تاريخ وحضارات,صعب,من أوّل رئيس لكينيا بعد الاستقلال؟,جومو كينياتا,الموسوعة ص892
تاريخ وحضارات,صعب,من أوّل رئيس لموريتانيا بعد الاستقلال؟,المختار ولد داداه,الموسوعة ص893
تاريخ وحضارات,متوسط,من أوّل امرأة تولّت رئاسة الوزراء في باكستان؟,بنظير بوتو,الموسوعة ص893
تاريخ وحضارات,متوسط,من الملك الوحيد الذي حكم ليبيا بعد استقلالها؟,إدريس السنوسي,الموسوعة ص894
تاريخ وحضارات,متوسط,من أوّل ملك للمملكة الأردنية الهاشمية؟,عبد الله الأول بن الحسين,الموسوعة ص894
تاريخ وحضارات,متوسط,من ملك المغرب الذي قاد البلاد إلى الاستقلال سنة 1956؟,محمد الخامس,الموسوعة ص895
تاريخ وحضارات,متوسط,من أوّل عربي يفوز بجائزة نوبل للسلام؟,أنور السادات,الموسوعة ص895
تاريخ وحضارات,صعب,من قاد أوّل جيش إسلامي غزا القسطنطينية في عهد معاوية؟,يزيد بن معاوية,الموسوعة ص896
تاريخ وحضارات,متوسط,من أوّل عربي تولّى منصب الأمين العام للأمم المتحدة؟,بطرس غالي,الموسوعة ص899
تاريخ وحضارات,متوسط,من قائد الثورة البلشفية ومؤسّس الاتحاد السوفيتي؟,لينين,الموسوعة ص899
تاريخ وحضارات,صعب,من أوّل رئيس وزراء لباكستان؟,لياقت علي خان,الموسوعة ص900
تاريخ وحضارات,صعب,من يُعدّ أوّل رئيس وزراء في تاريخ بريطانيا؟,روبرت والبول,الموسوعة ص902
تاريخ وحضارات,متوسط,من أوّل رئيس لتونس بعد الاستقلال؟,الحبيب بورقيبة,الموسوعة ص902
تاريخ وحضارات,صعب,من القائد الفاطمي الذي فتح مصر وأسّس مدينة القاهرة؟,جوهر الصقلي,الموسوعة ص906
السيرة النبوية,صعب,ما الغزوة الوحيدة التي لم يشهدها عليّ بن أبي طالب لأنّ النبي ﷺ استخلفه على المدينة؟,تبوك,الموسوعة ص907
تاريخ وحضارات,صعب,ما اليوم الذي انتصر فيه العرب على الفرس قبل الإسلام؟,يوم ذي قار,الموسوعة ص907
تاريخ وحضارات,متوسط,من مؤسّس جمهورية الصين الشعبية وأوّل زعيم لها سنة 1949؟,ماو تسي تونغ,الموسوعة ص907
تاريخ وحضارات,صعب,من أوّل رئيس لليمن الشمالي بعد ثورة 1962؟,عبد الله السلّال,الموسوعة ص908
تاريخ وحضارات,صعب,من أوّل حاكم لمصر حمل لقب «الخديوي»؟,إسماعيل,الموسوعة ص908
تاريخ وحضارات,صعب,من السريلانكية التي كانت أوّل رئيسة وزراء في العالم سنة 1960؟,سيريمافو باندرانايكه,الموسوعة ص908
تاريخ وحضارات,صعب,من تولّى رئاسة سوريا أوّل مرّة بعد الاستقلال سنة 1946؟,شكري القوتلي,الموسوعة ص909
جغرافيا ومعالم,صعب,ما عاصمة الهند في العهد البريطاني قبل نيودلهي؟,كلكتا,الموسوعة ص909
تاريخ وحضارات,متوسط,من أوّل رئيس للجزائر بعد الاستقلال؟,أحمد بن بلّة,الموسوعة ص909
كأس العالم,تعجيزي,ما أوّل نسخة من كأس العالم نقلها التلفزيون؟,1954 في سويسرا,الموسوعة ص915
رياضة وأرقام,صعب,من أوّل عربي يفوز بميدالية ذهبية أولمبية في رفع الأثقال سنة 1928؟,السيد نصير,الموسوعة ص915
رياضة وأرقام,تعجيزي,من أوّل عدّاء قطع الميل في أقلّ من أربع دقائق سنة 1954؟,روجر بانيستر,الموسوعة ص915
رياضة وأرقام,صعب,ما أوّل دولة عربية فازت بكأس العالم للناشئين سنة 1989؟,السعودية,الموسوعة ص918
رياضة وأرقام,صعب,من الفائز بأوّل بطولة لكأس آسيا سنة 1956؟,كوريا الجنوبية,الموسوعة ص918
رياضة وأرقام,تعجيزي,من أوّل من عبر بحر المانش سباحةً سنة 1875؟,ماثيو ويب,الموسوعة ص919
كأس العالم,تعجيزي,من أوّل رئيس للاتحاد الدولي لكرة القدم «فيفا» سنة 1904؟,روبير غيران,الموسوعة ص921
كأس العالم,صعب,من هدّاف أوّل كأس عالم سنة 1930؟,غييرمو ستابيلي,الموسوعة ص921
الصحابة والتابعون,صعب,من آخر من تزوّجها النبي ﷺ من أمّهات المؤمنين؟,ميمونة بنت الحارث,الموسوعة ص926
الصحابة والتابعون,صعب,من آخر أمّهات المؤمنين وفاةً؟,أمّ سلمة,الموسوعة ص928
تاريخ وحضارات,متوسط,من آخر رئيس للاتحاد السوفيتي قبل تفكّكه سنة 1991؟,غورباتشوف,الموسوعة ص930
تاريخ وحضارات,متوسط,ما آخر إمارة انضمّت إلى دولة الإمارات سنة 1972؟,رأس الخيمة,الموسوعة ص930
تاريخ وحضارات,تعجيزي,من آخر سلاطين الدولة الأيوبية في مصر وقُتل فتولّت بعده شجرة الدر؟,توران شاه,الموسوعة ص930
تاريخ وحضارات,صعب,ما آخر أسرة مسلمة حكمت الأندلس من غرناطة؟,بنو الأحمر,الموسوعة ص931
تاريخ وحضارات,صعب,من آخر ملوك العراق وقُتل في ثورة 1958؟,فيصل الثاني,الموسوعة ص931
تاريخ وحضارات,صعب,من آخر خلفاء الدولة الفاطمية الذي أسقطه صلاح الدين؟,العاضد,الموسوعة ص931
جغرافيا ومعالم,متوسط,ما آخر ولاية انضمّت إلى الولايات المتحدة سنة 1959؟,هاواي,الموسوعة ص932
تاريخ وحضارات,صعب,ما آخر جزء من سيناء استعادته مصر بالتحكيم الدولي سنة 1989؟,طابا,الموسوعة ص932
تاريخ وحضارات,صعب,من آخر ملوك مصر وكان رضيعاً حين أُلغيت الملكية؟,أحمد فؤاد الثاني,الموسوعة ص932
تاريخ وحضارات,صعب,من آخر إمبراطور لألمانيا وتنازل عن العرش بعد الحرب العالمية الأولى؟,فيلهلم الثاني,الموسوعة ص933
تاريخ وحضارات,متوسط,من آخر ملوك المسلمين في الأندلس الذي سلّم غرناطة سنة 1492؟,أبو عبد الله الصغير,الموسوعة ص933
تاريخ وحضارات,تعجيزي,من آخر قائد للحملة الفرنسية على مصر بعد اغتيال كليبر؟,مينو,الموسوعة ص933
تاريخ وحضارات,صعب,من آخر أباطرة الصين؟,بويي,الموسوعة ص933
تاريخ وحضارات,صعب,من آخر خلفاء الدولة الأموية في المشرق؟,مروان بن محمد,الموسوعة ص933
تاريخ وحضارات,صعب,من آخر خليفة عثماني خُلع بإلغاء الخلافة سنة 1924؟,عبد المجيد الثاني,الموسوعة ص935
السيرة النبوية,تعجيزي,ما آخر معارك الأوس والخزرج قبل الإسلام؟,يوم بُعاث,الموسوعة ص936
تاريخ وحضارات,صعب,من آخر سلاطين المماليك الذي شنقه العثمانيون على باب زويلة؟,طومان باي,الموسوعة ص936
جغرافيا ومعالم,متوسط,أيّ جزيرة أوروبية تُعرف بـ«أرض النار والجليد»؟,آيسلندا,الموسوعة ص346
جغرافيا ومعالم,متوسط,ما أكثر الولايات الأمريكية سكاناً؟,كاليفورنيا,الموسوعة ص347
جغرافيا ومعالم,صعب,ما عاصمة موزمبيق؟,مابوتو,الموسوعة ص348
جغرافيا ومعالم,صعب,ما عاصمة زيمبابوي؟,هراري,الموسوعة ص348
جغرافيا ومعالم,صعب,أيّ مدينة لبنانية سمّاها الرومان «هليوبوليس» أي مدينة الشمس؟,بعلبك,الموسوعة ص348
أحياء وفلك,صعب,كم منزلاً للقمر في الفلك العربي القديم؟,28,الموسوعة ص349
جغرافيا ومعالم,متوسط,ما الاسم الذي كانت تحمله ماليزيا قبل استقلالها؟,مالايا,الموسوعة ص349
جغرافيا ومعالم,صعب,ما عاصمة إقليم البنجاب الباكستاني؟,لاهور,الموسوعة ص351
جغرافيا ومعالم,صعب,أيّ بحر كان يُسمّى قديماً «بحر البنطس»؟,البحر الأسود,الموسوعة ص352
جغرافيا ومعالم,صعب,ما أطول نهر في كندا؟,ماكنزي,الموسوعة ص353
جغرافيا ومعالم,متوسط,ما الدولة الصغيرة الواقعة في جبال البرانس بين فرنسا وإسبانيا؟,أندورا,الموسوعة ص353
جغرافيا ومعالم,صعب,ما عاصمة لاتفيا؟,ريغا,الموسوعة ص356
جغرافيا ومعالم,صعب,ما عاصمة جزر الباهاما؟,ناسو,الموسوعة ص356
جغرافيا ومعالم,متوسط,في أيّ دولة يقع جبل كليمنجارو؟,تنزانيا,الموسوعة ص357
جغرافيا ومعالم,صعب,لأيّ دولة خليجية تتبع جزيرة حالول؟,قطر,الموسوعة ص357
جغرافيا ومعالم,صعب,من اتحاد أيّ بلدين نشأت تنزانيا سنة 1964؟,تنجانيقا وزنجبار,الموسوعة ص359
جغرافيا ومعالم,صعب,أيّ محافظة عراقية تحمل اسم معركة إسلامية شهيرة؟,القادسية,الموسوعة ص359
جغرافيا ومعالم,تعجيزي,ما عاصمة فيجي؟,سوفا,الموسوعة ص359
جغرافيا ومعالم,متوسط,ما اسم النهر الذي يتكوّن من التقاء دجلة والفرات؟,شط العرب,الموسوعة ص361
تاريخ وحضارات,صعب,من قائد الحملة الصليبية الأولى الذي دخل القدس سنة 1099؟,غودفري دي بويون,الموسوعة ص362
جغرافيا ومعالم,متوسط,ما أعلى قمة جبلية في مصر؟,جبل كاترين,الموسوعة ص364
جغرافيا ومعالم,صعب,أيّ جزيرة سمّاها البحّارة البرتغاليون «فورموزا» أي الجميلة؟,تايوان,الموسوعة ص364
جغرافيا ومعالم,متوسط,أيّ شبه جزيرة تُلقّب بـ«أرض الفيروز»؟,سيناء,الموسوعة ص364
جغرافيا ومعالم,متوسط,أيّ دولة عربية تُلقّب بـ«الخضراء»؟,تونس,الموسوعة ص365
جغرافيا ومعالم,صعب,ما أخفض نهر في العالم عن مستوى سطح البحر؟,نهر الأردن,الموسوعة ص366
جغرافيا ومعالم,متوسط,أيّ مدينة تقع عند المدخل الشمالي لقناة السويس؟,بورسعيد,الموسوعة ص367
أحياء وفلك,متوسط,كم نجماً في مجموعة الدبّ الأكبر (بنات نعش)؟,سبعة,الموسوعة ص370
جغرافيا ومعالم,متوسط,أيّ عاصمة عربية تُلقّب بـ«العاصمة المثلّثة»؟,الخرطوم,الموسوعة ص371
جغرافيا ومعالم,متوسط,أيّ القطبين أشدّ برودة؟,القطب الجنوبي,الموسوعة ص371
جغرافيا ومعالم,صعب,في أيّ دولة عربية تقع أكبر قاعدة عسكرية فرنسية خارج فرنسا؟,جيبوتي,الموسوعة ص346
جغرافيا ومعالم,تعجيزي,نسبةً إلى من سُمّيت قمة إفرست؟,جورج إفرست,الموسوعة ص346
جغرافيا ومعالم,صعب,أيّ نهر هو الأطول في أستراليا؟,موراي,الموسوعة ص347
جغرافيا ومعالم,صعب,أيّ نهر هو الأطول في بريطانيا؟,سيفرن,الموسوعة ص348
جغرافيا ومعالم,صعب,لأيّ دولة تتبع جزيرة داس النفطية؟,الإمارات,الموسوعة ص357
حضارات قديمة,صعب,ماذا كان اسم القدس قبل أن يفتحها داود عليه السلام؟,يبوس,الموسوعة ص362
جغرافيا ومعالم,متوسط,ما الاسم الذي كانت تحمله غانا قبل استقلالها؟,ساحل الذهب,الموسوعة ص373
جغرافيا ومعالم,متوسط,ما أكبر جزر البحر الكاريبي؟,كوبا,الموسوعة ص374
جغرافيا ومعالم,صعب,كم دولة تشترك في الحدود مع البرازيل؟,عشر دول,الموسوعة ص375
جغرافيا ومعالم,متوسط,ما عاصمة إريتريا؟,أسمرة,الموسوعة ص379
جغرافيا ومعالم,صعب,ما عاصمة سيراليون؟,فريتاون,الموسوعة ص379
جغرافيا ومعالم,صعب,ما عاصمة الغابون؟,ليبرفيل,الموسوعة ص379
جغرافيا ومعالم,صعب,ما عاصمة بوتسوانا؟,غابورون,الموسوعة ص379
جغرافيا ومعالم,متوسط,ما عاصمة غانا؟,أكرا,الموسوعة ص380
جغرافيا ومعالم,صعب,ما عاصمة النيجر؟,نيامي,الموسوعة ص382
جغرافيا ومعالم,صعب,ما عاصمة جزر القمر؟,موروني,الموسوعة ص382
جغرافيا ومعالم,صعب,ما عاصمة غينيا؟,كوناكري,الموسوعة ص382
جغرافيا ومعالم,متوسط,ما عاصمة السنغال؟,داكار,الموسوعة ص383
جغرافيا ومعالم,صعب,ما عاصمة زامبيا؟,لوساكا,الموسوعة ص383
جغرافيا ومعالم,متوسط,ما عاصمة أوغندا؟,كمبالا,الموسوعة ص383
جغرافيا ومعالم,تعجيزي,ما عاصمة غامبيا؟,بانجول,الموسوعة ص383
جغرافيا ومعالم,صعب,ما عاصمة أنغولا؟,لواندا,الموسوعة ص384
جغرافيا ومعالم,صعب,ما عاصمة تشاد؟,نجامينا,الموسوعة ص384
جغرافيا ومعالم,صعب,ما عاصمة نيكاراغوا؟,ماناغوا,الموسوعة ص384
جغرافيا ومعالم,صعب,ما عاصمة جامايكا؟,كينغستون,الموسوعة ص385
جغرافيا ومعالم,صعب,ما عاصمة هايتي؟,بورت أو برنس,الموسوعة ص385
جغرافيا ومعالم,صعب,ما عاصمة تركمانستان؟,عشق آباد,الموسوعة ص388
جغرافيا ومعالم,متوسط,ما عاصمة تايوان؟,تايبيه,الموسوعة ص388
جغرافيا ومعالم,صعب,ما عاصمة الشيشان؟,غروزني,الموسوعة ص388
جغرافيا ومعالم,متوسط,ما عاصمة صربيا؟,بلغراد,الموسوعة ص390
جغرافيا ومعالم,صعب,ما عاصمة ألبانيا؟,تيرانا,الموسوعة ص390
جغرافيا ومعالم,متوسط,ما عاصمة أيرلندا الشمالية؟,بلفاست,الموسوعة ص391
جغرافيا ومعالم,متوسط,ما عاصمة قبرص؟,نيقوسيا,الموسوعة ص392
جغرافيا ومعالم,تعجيزي,ما عاصمة سورينام؟,باراماريبو,الموسوعة ص392
جغرافيا ومعالم,متوسط,ما عاصمة فنزويلا؟,كاراكاس,الموسوعة ص392
جغرافيا ومعالم,متوسط,أيّ مدينة كانت عاصمة روسيا قبل موسكو حتى سنة 1918؟,سانت بطرسبرغ,الموسوعة ص389
جغرافيا ومعالم,صعب,أيّ مدينة كانت عاصمة الصين قبل بكين في عهد الجمهورية؟,نانجينغ,الموسوعة ص389
جغرافيا ومعالم,متوسط,ما أكبر دولة في العالم إنتاجاً للكاكاو؟,كوت ديفوار,الموسوعة ص389
جغرافيا ومعالم,متوسط,في أيّ جزيرة إندونيسية تقع العاصمة جاكرتا؟,جاوة,الموسوعة ص390
جغرافيا ومعالم,صعب,ما اللغة الرسمية في سورينام؟,الهولندية,الموسوعة ص406
تاريخ وحضارات,تعجيزي,من العالم الذي أشار على سليمان بن عبد الملك أن يعهد بالخلافة إلى عمر بن عبد العزيز؟,رجاء بن حيوة,الموسوعة ص412
تاريخ وحضارات,صعب,كم دامت خلافة عمر بن عبد العزيز تقريباً؟,سنتان ونصف,الموسوعة ص412
تاريخ وحضارات,متوسط,في أيّ مدينة عراقية وُلد صلاح الدين الأيوبي؟,تكريت,الموسوعة ص412
تاريخ وحضارات,صعب,إلى أيّ مدينة نُفي السلطان عبد الحميد الثاني بعد خلعه سنة 1909؟,سالونيك,الموسوعة ص413
تاريخ وحضارات,متوسط,في أيّ عام اغتيل الملك فيصل بن عبد العزيز؟,1975,الموسوعة ص413
الصحابة والتابعون,متوسط,في أيّ مدينة وُلد الإمام أبو حنيفة؟,الكوفة,الموسوعة ص414
تاريخ وحضارات,صعب,من أوّل من حمل لقب «قاضي القضاة» في الإسلام في عهد هارون الرشيد؟,أبو يوسف,الموسوعة ص415
دين وسيرة,صعب,من الفقيه الملقّب بـ«سلطان العلماء»؟,العزّ بن عبد السلام,الموسوعة ص415
دين وسيرة,صعب,في أيّ مدينة وُلد شيخ الإسلام ابن تيمية؟,حرّان,الموسوعة ص415
دين وسيرة,تعجيزي,أيّ إمام قالت له أمّه في صغره: «اطلب العلم وأنا أكفيك بمغزلي»؟,سفيان الثوري,الموسوعة ص416
تاريخ وحضارات,صعب,من مؤلّف كتاب «تاريخ الرسل والملوك»؟,الطبري,الموسوعة ص416
جغرافيا ومعالم,صعب,أيّ ميناء عربي بُنيت مدينته داخل فوهة بركان خامد؟,عدن,الموسوعة ص417
جغرافيا ومعالم,متوسط,ما النهر الذي يلتقي مع النيل الأزرق عند الخرطوم؟,النيل الأبيض,الموسوعة ص417
جغرافيا ومعالم,صعب,أيّ مدينة مغربية دمّرها زلزال سنة 1960؟,أغادير,الموسوعة ص417
جغرافيا ومعالم,صعب,في أيّ دولة يقع «جبل آدم» الذي يُقال إن فيه أثر قدم آدم عليه السلام؟,سريلانكا,الموسوعة ص418
جغرافيا ومعالم,صعب,ماذا يعني اسم «هونغ كونغ» بالصينية؟,الميناء العطر,الموسوعة ص418
تاريخ وحضارات,صعب,ما أوّل جمهورية في العالم أسّسها عبيد ثاروا وتحرّروا سنة 1804؟,هايتي,الموسوعة ص418
جغرافيا ومعالم,صعب,ما أقصى عاصمة في العالم نحو الشمال؟,ريكيافيك,الموسوعة ص420
تاريخ وحضارات,صعب,بأيّ اسم عرف العثمانيون الخليج العربي؟,خليج البصرة,الموسوعة ص421
جغرافيا ومعالم,صعب,ما الاسم الذي حملته دولة بنين حتى سنة 1975؟,داهومي,الموسوعة ص422
جغرافيا ومعالم,متوسط,أيّ دولتين تقعان على ضفّتي مضيق باب المندب؟,اليمن وجيبوتي,الموسوعة ص422
جغرافيا ومعالم,صعب,كم ولاية في أستراليا؟,ستّ ولايات,الموسوعة ص423
جغرافيا ومعالم,متوسط,ما اللغة الرسمية في تنزانيا؟,السواحلية,الموسوعة ص423
معالم,متوسط,في أيّ مدينة تقع نافورة تريفي التي يرمي فيها الزوّار العملات؟,روما,الموسوعة ص423
جغرافيا ومعالم,صعب,بين أيّ دولتين يقع ممرّ خيبر الجبلي؟,باكستان وأفغانستان,الموسوعة ص423
جغرافيا ومعالم,متوسط,لأيّ دولة تتبع جزيرتا تيران وصنافير في البحر الأحمر اليوم؟,السعودية,الموسوعة ص425
جغرافيا ومعالم,صعب,أيّ نهر هو الأطول في إيطاليا؟,نهر بو,الموسوعة ص425
معالم,صعب,في أيّ مدينة يقع «قصر الشتاء» مقرّ قياصرة روسيا؟,سانت بطرسبرغ,الموسوعة ص425
جغرافيا ومعالم,صعب,في أيّ محافظة سورية تقع معرّة النعمان بلد أبي العلاء؟,إدلب,الموسوعة ص426
جغرافيا ومعالم,صعب,بأيّ اسم عُرفت جيبوتي أيام الاستعمار الفرنسي؟,إقليم العفر والعيسى,الموسوعة ص427
جغرافيا ومعالم,متوسط,ما الاسم القديم لمدينة طوكيو؟,إيدو,الموسوعة ص427
جغرافيا ومعالم,تعجيزي,أيّ بحيرة عرفها الجغرافيون المسلمون باسم «بحيرة خوارزم»؟,بحر آرال,الموسوعة ص428
تاريخ وحضارات,تعجيزي,من الشيخ الذي أسّس إمارة أبوظبي سنة 1793 من آل نهيان؟,شخبوط بن ذياب,الموسوعة ص428
جغرافيا ومعالم,صعب,في أيّ دولتين يجري نهر الرون؟,سويسرا وفرنسا,الموسوعة ص428
جغرافيا ومعالم,سهل,ما الجمهورية الوحيدة في شبه الجزيرة العربية؟,اليمن,الموسوعة ص429
تاريخ وحضارات,متوسط,أيّ شعب أسّس مدينة نيويورك باسم «نيو أمستردام»؟,الهولنديون,الموسوعة ص429
جغرافيا ومعالم,متوسط,على أيّ نهر تقع مدينتا حمص وحماة؟,العاصي,الموسوعة ص430
جغرافيا ومعالم,صعب,كم دولة تشترك في الحدود مع ألمانيا؟,تسع دول,الموسوعة ص430
جغرافيا ومعالم,متوسط,أيّ مدينة سعودية فيها أكبر سوق للإبل في العالم؟,بريدة,الموسوعة ص430
تاريخ وحضارات,صعب,ما الاسم الروماني القديم لاسكتلندا؟,كاليدونيا,الموسوعة ص430
جغرافيا ومعالم,صعب,على أيّ نهر تقع الرباط عاصمة المغرب؟,أبو رقراق,الموسوعة ص431
جغرافيا ومعالم,متوسط,أيّ دولة عربية تُلقّب بـ«بلد المليون شاعر»؟,موريتانيا,الموسوعة ص431
تاريخ وحضارات,صعب,أيّ بلد كان يُعرف في كتب التاريخ بـ«المغرب الأوسط»؟,الجزائر,الموسوعة ص431
جغرافيا ومعالم,متوسط,أيّ دولة يعني اسمها «خطّ الاستواء» بالإسبانية؟,الإكوادور,الموسوعة ص431
