id,category,action,note,question,answer,new_question,new_answer
"ADM1442","علوم واختراعات","حجب","سنة (1947)","في أيّ سنةٍ سُجّلت براءة اختراع الترانزستور؟","1947","",""
"ADM1936","كأس العالم","حجب","برت باتينود مستحيل","من صاحب أوّل ثلاثيّةٍ في تاريخ النهائيات سنة 1930؟","برت باتينود","",""
"ADM1945","كأس العالم","حجب","ملعب بوثيتوس مستحيل","في أيّ ملعبٍ بمدينة مونتيفيديو أُقيمت أوّل مباراةٍ في تاريخ البطولة؟","ملعب بوثيتوس","",""
"ADM1947","كأس العالم","حجب","بلاسيدو غاليندو مستحيل","من أوّل لاعبٍ يُطرد في تاريخ النهائيات سنة 1930؟","بلاسيدو غاليندو","",""
"ADM1951","كأس العالم","حجب","رقم (18 مباراة)","كم مباراةً أُقيمت في نسخة 1930 كلّها؟","ثماني عشرة مباراة","",""
"ADM3993","كأس العالم","حجب","روبير غيران مستحيل","من أوّل رئيس للاتحاد الدولي لكرة القدم «فيفا» سنة 1904؟","روبير غيران","",""
"ADM5664","مسلسلات كويتية","حجب","رقم (5000 دينار)","بكم قدّرت سبيكة سعر بسطتهما القديمة في «رقية وسبيكة»؟","5000 دينار","",""
"ADM5668","مسلسلات كويتية","حجب","رقم (65 شيكاً)","كم شيكاً كان على شركة الأختين في «رقية وسبيكة» سداده في النهاية؟","65","",""
"ADM5672","مسلسلات كويتية","حجب","رقم (مليونا دينار)","كم بلغ تثمين البيت الجديد كما سمع بو عثمان في «رقية وسبيكة»؟","مليونا دينار","",""
"ADM5696","مسلسلات كويتية","حجب","جهة الإنتاج مستحيلة","ما الجهة التي نفّذت إنتاج مسلسل «الحيالة»؟","مركز الفنون للإنتاج الفني","",""
"ADM5854","مسلسلات كويتية","حجب","شهر العرض مستحيل","في أيّ شهرٍ من عام 1983 عُرض مسلسل «خالتي قماشة» أوّل مرّة؟","يونيو","",""
"ADM1655","معالم","تبديل","رقم (1665 درجة)","كم عدد الدرجات في برج إيفل حتى القمّة؟","1665","في أيّ مناسبةٍ بُني برج إيفل سنة 1889 وكان مقرّراً تفكيكه بعدها؟","المعرض العالميّ (الدوليّ) في باريس"
"ADM1656","معالم","تبديل","رقم (15 سم)","كم سنتيمتراً يزيد ارتفاع برج إيفل صيفاً بسبب الحرارة؟","خمسة عشر","ما اسم الجسر اللندنيّ ذي البرجين الذي يُظنّ خطأً أنّه «جسر لندن»؟","تاور بريدج"
